Fuel,Scenario,Year,Energy,Energy_Taxes,Distribution,Final_price,
Oil,High,2024,0.0504,0.0387,0.0150,0.1041,
Oil,High,2025,0.0501,0.0387,0.0150,0.1038,
Oil,High,2026,0.0497,0.0387,0.0150,0.1034,
Oil,High,2027,0.0494,0.0387,0.0150,0.1031,
Oil,High,2028,0.0491,0.0387,0.0150,0.1028,
Oil,High,2029,0.0488,0.0387,0.0150,0.1025,
Oil,High,2030,0.0485,0.0387,0.0150,0.1022,
Oil,High,2031,0.0485,0.0387,0.0150,0.1022,
Oil,High,2032,0.0484,0.0387,0.0150,0.1021,
Oil,High,2033,0.0483,0.0387,0.0150,0.1020,
Oil,High,2034,0.0482,0.0387,0.0150,0.1019,
Oil,High,2035,0.0480,0.0387,0.0150,0.1017,
Oil,High,2036,0.0479,0.0387,0.0150,0.1016,
Oil,High,2037,0.0478,0.0387,0.0150,0.1015,
Oil,High,2038,0.0477,0.0387,0.0150,0.1014,
Oil,High,2039,0.0475,0.0387,0.0150,0.1012,
Oil,High,2040,0.0473,0.0387,0.0150,0.1010,
Oil,High,2041,0.0473,0.0387,0.0150,0.1010,
Oil,High,2042,0.0472,0.0387,0.0150,0.1009,
Oil,High,2043,0.0470,0.0387,0.0150,0.1007,
Oil,High,2044,0.0469,0.0387,0.0150,0.1006,
Oil,High,2049,0.0463,0.0387,0.0150,0.1000,
Oil,High,2050,0.0461,0.0387,0.0150,0.0998,
Oil,Average,2024,0.0504,0.0387,0.0150,0.1041,
Oil,Average,2025,0.0493,0.0387,0.0150,0.1030,
Oil,Average,2026,0.0483,0.0387,0.0150,0.1020,
Oil,Average,2027,0.0473,0.0387,0.0150,0.1010,
Oil,Average,2028,0.0463,0.0387,0.0150,0.1000,
Oil,Average,2029,0.0452,0.0387,0.0150,0.0989,
Oil,Average,2030,0.0442,0.0387,0.0150,0.0979,
Oil,Average,2031,0.0442,0.0387,0.0150,0.0979,
Oil,Average,2032,0.0437,0.0387,0.0150,0.0974,
Oil,Average,2033,0.0431,0.0387,0.0150,0.0968,
Oil,Average,2034,0.0426,0.0387,0.0150,0.0963,
Oil,Average,2035,0.0420,0.0387,0.0150,0.0957,
Oil,Average,2036,0.0415,0.0387,0.0150,0.0952,
Oil,Average,2037,0.0409,0.0387,0.0150,0.0946,
Oil,Average,2038,0.0404,0.0387,0.0150,0.0941,
Oil,Average,2039,0.0398,0.0387,0.0150,0.0935,
Oil,Average,2040,0.0387,0.0387,0.0150,0.0924,
Oil,Average,2041,0.0387,0.0387,0.0150,0.0924,
Oil,Average,2042,0.0384,0.0387,0.0150,0.0921,
Oil,Average,2043,0.0381,0.0387,0.0150,0.0918,
Oil,Average,2044,0.0378,0.0387,0.0150,0.0915,
Oil,Average,2045,0.0375,0.0387,0.0150,0.0912,
Oil,Average,2046,0.0372,0.0387,0.0150,0.0909,
Oil,Average,2047,0.0369,0.0387,0.0150,0.0906,
Oil,Average,2048,0.0365,0.0387,0.0150,0.0902,
Oil,Average,2049,0.0362,0.0387,0.0150,0.0899,
Oil,Average,2050,0.0356,0.0387,0.0150,0.0893,
Oil,Low,2024,0.0504,0.0387,0.0150,0.1041,
Oil,Low,2025,0.0463,0.0387,0.0150,0.1000,
Oil,Low,2026,0.0422,0.0387,0.0150,0.0959,
Oil,Low,2027,0.0381,0.0387,0.0150,0.0918,
Oil,Low,2028,0.0340,0.0387,0.0150,0.0877,
Oil,Low,2029,0.0299,0.0387,0.0150,0.0836,
Oil,Low,2030,0.0258,0.0387,0.0150,0.0795,
Oil,Low,2031,0.0258,0.0387,0.0150,0.0795,
Oil,Low,2032,0.0251,0.0387,0.0150,0.0788,
Oil,Low,2033,0.0243,0.0387,0.0150,0.0780,
Oil,Low,2034,0.0236,0.0387,0.0150,0.0773,
Oil,Low,2035,0.0228,0.0387,0.0150,0.0765,
Oil,Low,2036,0.0221,0.0387,0.0150,0.0758,
Oil,Low,2037,0.0214,0.0387,0.0150,0.0751,
