Technology,VECTO_Group,Price
Diesel,0,11
Diesel,1,11
Diesel,2,11
Diesel,3,15.77
Diesel,4-UD,15.77
Diesel,4-RD,15.77
Diesel,4-LH,15.77
Diesel,5-RD,18.5
Diesel,5-LH,18.5
Diesel,9-RD,15.77
Diesel,9-LH,15.77
Diesel,10-RD,18.5
Diesel,10-LH,18.5
Diesel,11,15.77
Diesel,12,18.5
Diesel,16,11.14
NG,0,12.1
NG,1,12.1
NG,2,12.1
NG,3,17.35
NG,4-UD,17.35
NG,4-RD,17.35
NG,4-LH,17.35
NG,5-RD,19.43
NG,5-LH,19.43
NG,9-RD,17.35
NG,9-LH,17.35
NG,10-RD,19.43
NG,10-LH,19.43
NG,11,17.35
NG,12,19.43
NG,16,11.93
BET,0,7.5
BET,1,7.5
BET,2,7.5
BET,3,10.51
BET,4-UD,10.51
BET,4-RD,10.51
BET,4-LH,10.51
BET,5-RD,13.24
BET,5-LH,13.24
BET,9-RD,10.51
BET,9-LH,10.51
BET,10-RD,13.24
BET,10-LH,13.24
BET,11,10.51
BET,12,13.24
BET,16,7.73
FCET,0,7.89
FCET,1,7.89
FCET,2,7.89
FCET,3,11.05
FCET,4-UD,11.05
FCET,4-RD,11.05
FCET,4-LH,11.05
FCET,5-RD,13.78
FCET,5-LH,13.78
FCET,9-RD,11.05
FCET,9-LH,11.05
FCET,10-RD,13.78
FCET,10-LH,13.78
FCET,11,11.05
FCET,12,13.78
FCET,16,7.73
