Technology,VECTO_Group,Feature,Year,Capacity
BET,0,Battery,2022,120.00
BET,1,Battery,2022,180.00
BET,2,Battery,2022,190.00
BET,3,Battery,2022,250.00
BET,4-UD,Battery,2022,260.00
BET,4-RD,Battery,2022,360.00
BET,4-LH,Battery,2022,760.00
BET,5-RD,Battery,2022,450.00
BET,5-LH,Battery,2022,760.00
BET,9-RD,Battery,2022,340.00
BET,9-LH,Battery,2022,1380.00
BET,10-RD,Battery,2022,400.00
BET,10-LH,Battery,2022,1670.00
BET,11,Battery,2022,380.00
BET,12,Battery,2022,580.00
BET,16,Battery,2022,280.00
BET,0,Battery,2030,100.00
BET,1,Battery,2030,150.00
BET,2,Battery,2030,160.00
BET,3,Battery,2030,200.00
BET,4-UD,Battery,2030,200.00
BET,4-RD,Battery,2030,270.00
BET,4-LH,Battery,2030,405.00
BET,5-RD,Battery,2030,330.00
BET,5-LH,Battery,2030,405.00
BET,9-RD,Battery,2030,260.00
BET,9-LH,Battery,2030,1040.00
BET,10-RD,Battery,2030,310.00
BET,10-LH,Battery,2030,1270.00
BET,11,Battery,2030,300.00
BET,12,Battery,2030,460.00
BET,16,Battery,2030,210.00
BET,0,Battery,2040,100.00
BET,1,Battery,2040,150.00
BET,2,Battery,2040,160.00
BET,3,Battery,2040,200.00
BET,4-UD,Battery,2040,200.00
BET,4-RD,Battery,2040,270.00
BET,4-LH,Battery,2040,405.00
BET,5-RD,Battery,2040,330.00
BET,5-LH,Battery,2040,405.00
BET,9-RD,Battery,2040,260.00
BET,9-LH,Battery,2040,1040.00
BET,10-RD,Battery,2040,310.00
BET,10-LH,Battery,2040,1270.00
BET,11,Battery,2040,300.00
BET,12,Battery,2040,460.00
BET,16,Battery,2040,210.00
FCEV,0,H2_Tank,2022,6.00
FCEV,1,H2_Tank,2022,9.00
FCEV,2,H2_Tank,2022,9.00
FCEV,3,H2_Tank,2022,11.00
FCEV,4-UD,H2_Tank,2022,12.00
FCEV,4-RD,H2_Tank,2022,17.00
FCEV,4-LH,H2_Tank,2022,68.00
FCEV,5-RD,H2_Tank,2022,21.00
FCEV,5-LH,H2_Tank,2022,45.00
FCEV,9-RD,H2_Tank,2022,16.00
FCEV,9-LH,H2_Tank,2022,67.00
FCEV,10-RD,H2_Tank,2022,18.00
FCEV,10-LH,H2_Tank,2022,80.00
FCEV,11,H2_Tank,2022,17.00
FCEV,12,H2_Tank,2022,27.00
FCEV,16,H2_Tank,2022,13.00
FCEV,0,H2_Tank,2030,4.00
FCEV,1,H2_Tank,2030,7.00
FCEV,2,H2_Tank,2030,7.00
FCEV,3,H2_Tank,2030,9.00
FCEV,4-UD,H2_Tank,2030,8.00
FCEV,4-RD,H2_Tank,2030,12.00
FCEV,4-LH,H2_Tank,2030,49.00
FCEV,5-RD,H2_Tank,2030,14.00
FCEV,5-LH,H2_Tank,2030,33.00
FCEV,9-RD,H2_Tank,2030,11.00
FCEV,9-LH,H2_Tank,2030,49.00
FCEV,10-RD,H2_Tank,2030,13.00
FCEV,10-LH,H2_Tank,2030,59.00
FCEV,11,H2_Tank,2030,13.00
FCEV,12,H2_Tank,2030,19.00
FCEV,16,H2_Tank,2030,9.00
FCEV,0,H2_Tank,2040,4.00
FCEV,1,H2_Tank,2040,6.00
FCEV,2,H2_Tank,2040,6.00
FCEV,3,H2_Tank,2040,8.00
FCEV,4-UD,H2_Tank,2040,8.00
FCEV,4-RD,H2_Tank,2040,11.00
FCEV,4-LH,H2_Tank,2040,46.00
FCEV,5-RD,H2_Tank,2040,13.00
FCEV,5-LH,H2_Tank,2040,32.00
FCEV,9-RD,H2_Tank,2040,10.00
FCEV,9-LH,H2_Tank,2040,46.00
FCEV,10-RD,H2_Tank,2040,12.00
FCEV,10-LH,H2_Tank,2040,56.00
FCEV,11,H2_Tank,2040,12.00
FCEV,12,H2_Tank,2040,18.00
FCEV,16,H2_Tank,2040,8.00
FCEV,0,FC_Power,2022,100.00
FCEV,1,FC_Power,2022,100.00
FCEV,2,FC_Power,2022,100.00
FCEV,3,FC_Power,2022,100.00
FCEV,4-UD,FC_Power,2022,100.00
FCEV,4-RD,FC_Power,2022,200.00
FCEV,4-LH,FC_Power,2022,200.00
FCEV,5-RD,FC_Power,2022,200.00
FCEV,5-LH,FC_Power,2022,200.00
FCEV,9-RD,FC_Power,2022,200.00
FCEV,9-LH,FC_Power,2022,200.00
FCEV,10-RD,FC_Power,2022,200.00
FCEV,10-LH,FC_Power,2022,200.00
FCEV,11,FC_Power,2022,200.00
FCEV,12,FC_Power,2022,200.00
FCEV,16,FC_Power,2022,200.00
FCEV,0,Battery_kWh,2022,100.00
FCEV,1,Battery_kWh,2022,100.00
FCEV,2,Battery_kWh,2022,100.00
FCEV,3,Battery_kWh,2022,100.00
FCEV,4-UD,Battery_kWh,2022,100.00
FCEV,4-RD,Battery_kWh,2022,100.00
FCEV,4-LH,Battery_kWh,2022,100.00
FCEV,5-RD,Battery_kWh,2022,100.00
FCEV,5-LH,Battery_kWh,2022,100.00
FCEV,9-RD,Battery_kWh,2022,100.00
FCEV,9-LH,Battery_kWh,2022,100.00
FCEV,10-RD,Battery_kWh,2022,100.00
FCEV,10-LH,Battery_kWh,2022,100.00
FCEV,11,Battery_kWh,2022,100.00
FCEV,12,Battery_kWh,2022,100.00
FCEV,16,Battery_kWh,2022,100.00
