VECTO_Group,Curb_weight,GVW,Payload,Engine_Power_kW,km_year,Pressure,Minutes_Refuelling
0,4800.00,7.50,2.70,170.00,116000.00,350.00,11.00
1,4800.00,10.00,5.20,170.00,116000.00,350.00,11.00
2,4800.00,12.00,7.20,170.00,116000.00,350.00,11.00
3,4800.00,16.00,11.20,220.00,116000.00,350.00,11.00
4-UD,8229.00,40.00,31.70,170.00,116000.00,350.00,11.00
4-RD,8229.00,40.00,31.70,220.00,116000.00,350.00,11.00
4-LH,8229.00,40.00,31.70,325.00,116000.00,350.00,11.00
5-RD,8229.00,40.00,31.70,220.00,116000.00,350.00,11.00
5-LH,8229.00,40.00,31.70,325.00,116000.00,350.00,11.00
9-RD,9300.00,40.00,30.70,325.00,116000.00,350.00,11.00
9-LH,9300.00,40.00,30.70,325.00,116000.00,350.00,11.00
10-RD,9300.00,40.00,30.70,325.00,116000.00,350.00,11.00
10-LH,9300.00,40.00,30.70,325.00,116000.00,350.00,11.00
11,9600.00,40.00,30.40,325.00,116000.00,350.00,11.00
12,9600.00,40.00,30.40,325.00,116000.00,350.00,11.00
16,11200.00,40.00,28.80,325.00,116000.00,350.00,11.00
